day,Adults,A_SE,A_SE_L,A_SE_H
169,7.19,2.68,4.51,9.87
171,7.19,2.68,4.51,9.87
173,10.92,3.3,7.61,14.22
175,19.43,4.41,15.03,23.84
179,31.15,5.58,25.57,36.73
181,18.37,4.29,14.08,22.66
183,37,6.08,30.92,43.09
184,49.78,7.06,42.73,56.84
187,59.37,7.71,51.66,67.07
189,65.76,8.11,57.65,73.87
190,56.17,7.49,48.68,63.67
192,49.78,7.06,42.73,56.84
194,56.17,7.49,48.68,63.67
196,62.56,7.91,54.65,70.47
198,56.71,7.53,49.18,64.24
201,46.06,6.79,39.27,52.84
204,36.47,6.04,30.43,42.51
290,3.11,1.76,1.34,4.87
294,6.5,2.55,3.95,9.04
295,27.67,5.26,22.41,32.94
297,49.7,7.05,42.65,56.75
298,73.42,8.57,64.85,81.99
299,99.69,9.98,89.7,109.67
301,81.9,9.05,72.85,90.94
302,67.49,8.22,59.28,75.71
304,35.3,5.94,29.36,41.24
306,8.19,2.86,5.33,11.05
313,1.41,1.19,0.22,2.6