Reference,Subfamily,Population,Lat,Long,Habitat,Location,N_Temps,T_C,T_K,Birth_Rate,Birth_Source,Fecundity,Fec_Source,Development,Dev_Source,Juv_Mortality,Jmort_Source,Survivorship,Surv_Source,Juv_Duration,Juv_Stages,Juv_Source,Gen_Time,Gen_Source,Adult_Mortality,Amort_Source,Adult_Longevity,Long_Source,R0,R0_Source,r_m,r_m_Source,Notes,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",10,15,288,,,,,0,Figure 2a,,,0,Figure 2b,,,,,,,,,,,,,,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",10,18,291,0.066,Calculated,7.3,Figure 5b,0.014,Figure 2a,0.056,Calculated,0.02,Table 4,69.36,Egg_to_Adult,Table 2,83.43,Table 4,0.009,Figure 5c,111.11,Calculated,0.10,Table 4,-0.0276,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",10,20,293,0.582,Calculated,14.0,Figure 5b,0.019,Figure 2a,0.008,Calculated,0.67,Table 4,52.4,Egg_to_Adult,Table 2,79.69,Table 4,0.042,Figure 5c,24.00,Calculated,5.53,Table 4,0.0215,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",10,23,296,4.028,Calculated,201.4,Figure 5b,0.032,Figure 2a,0.024,Calculated,0.47,Table 4,31.22,Egg_to_Adult,Table 2,52.78,Table 4,0.020,Figure 5c,50.00,Calculated,46.69,Table 4,0.0728,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",10,25,298,8.428,Calculated,317.7,Figure 5b,0.037,Figure 2a,0.013,Calculated,0.71,Table 4,26.67,Egg_to_Adult,Table 2,45.27,Table 4,0.027,Figure 5c,37.70,Calculated,128.08,Table 4,0.1072,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",10,28,301,6.445,Calculated,214.8,Figure 5b,0.043,Figure 2a,0.020,Calculated,0.63,Table 4,23.24,Egg_to_Adult,Table 2,39.75,Table 4,0.030,Figure 5c,33.33,Calculated,68.30,Table 4,0.1063,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",10,30,303,9.442,Calculated,263.4,Figure 5b,0.050,Figure 2a,0.012,Calculated,0.79,Table 4,19.92,Egg_to_Adult,Table 2,31.85,Table 4,0.036,Figure 5c,27.90,Calculated,101.63,Table 4,0.1451,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",10,32,305,3.300,Calculated,73.3,Figure 5b,0.058,Figure 2a,0.080,Calculated,0.25,Table 4,17.13,Egg_to_Adult,Table 2,29.13,Table 4,0.045,Figure 5c,22.22,Calculated,7.48,Table 4,0.0691,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",10,34,307,1.573,Calculated,18.7,Figure 5b,0.064,Figure 2a,0.171,Calculated,0.07,Table 4,15.73,Egg_to_Adult,Table 2,26.25,Table 4,0.084,Figure 5c,11.90,Calculated,0.74,Table 4,-0.0115,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla shadabi Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",10,36,309,,,,,0,Figure 2a,,,0,Figure 2b,,,,,,,,,,,,,,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla tomentosicollis Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,18,291,,,,,0.019,Calculated,0.033,Calculated,0.166,Table 1,53.72,Egg_to_Adult,Table 1,88.9,Table 4,,,,,0.40,Table 4,-0.0103,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla tomentosicollis Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,20,293,0.499,Calculated,9.3,Table 5,0.029,Calculated,0.023,Calculated,0.458,Table 1,34.7,Egg_to_Adult,Table 1,53.9,Table 4,0.054,Figure 4c,18.63,Calculated,1.73,Table 4,0.0102,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla tomentosicollis Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,23,296,,,,,0.035,Calculated,0.008,Calculated,0.795,Table 1,28.76,Egg_to_Adult,Table 1,47.5,Table 4,0.027,Figure 4c,37.67,Calculated,52.84,Table 4,0.0835,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla tomentosicollis Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,25,298,3.490,Calculated,47.7,Table 5,0.041,Calculated,0.023,Calculated,0.568,Table 1,24.32,Egg_to_Adult,Table 1,35.1,Table 4,0.073,Figure 4c,13.67,Calculated,14.04,Table 4,0.0753,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla tomentosicollis Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,30,303,7.189,Calculated,132.2,Table 5,0.068,Calculated,0.023,Calculated,0.716,Table 1,14.72,Egg_to_Adult,Table 1,24.3,Table 4,0.054,Figure 4c,18.39,Calculated,39.96,Table 4,0.1518,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla tomentosicollis Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,34,307,3.159,Calculated,24.3,Table 5,0.090,Calculated,0.089,Calculated,0.371,Table 1,11.17,Egg_to_Adult,Table 1,19.7,Table 4,0.130,Figure 4c,7.69,Calculated,8.78,Table 4,0.1103,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla tomentosicollis Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,36,309,,,,,0.088,Calculated,0.061,Calculated,0.498,Table 1,11.42,Egg_to_Adult,Table 1,19.0,Table 4,0.095,Figure 4c,10.51,Calculated,14.84,Table 4,0.1420,Calculated,,
Dreyer & Baumgartner 1996,Heteroptera,Clavigralla tomentosicollis Benin,6.45,2.35,Tropical,"Benin, IITA_Station_in_Abomey/Calavi",8,40,313,0,Calculated,0,In text,0,Figure 1,,,0,In text,,,,,,,,,,0,In text,0,Calculated,,
Egwuata & Taylor 1977,Heteroptera,Clavigralla tomentosicollis Nigeria,7.45,3.90,Tropical,"Nigeria, Ibadan",9,20,293,,,,,0.023,Calculated,0.026,Calculated,0.321,Table 3,43.1,Egg_to_Adult,Table 1,,,,,,,,,,,,
Egwuata & Taylor 1977,Heteroptera,Clavigralla tomentosicollis Nigeria,7.45,3.90,Tropical,"Nigeria, Ibadan",9,22,295,,,,,0.031,Calculated,0.009,Calculated,0.740,Table 3,32.4,Egg_to_Adult,Table 1,,,,,,,,,,,,
Egwuata & Taylor 1977,Heteroptera,Clavigralla tomentosicollis Nigeria,7.45,3.90,Tropical,"Nigeria, Ibadan",9,25,298,,,,,0.039,Calculated,0.020,Calculated,0.600,Table 3,25.4,Egg_to_Adult,Table 1,,,,,,,,,,,,
Egwuata & Taylor 1977,Heteroptera,Clavigralla tomentosicollis Nigeria,7.45,3.90,Tropical,"Nigeria, Ibadan",9,27,300,,,,,0.050,Calculated,0.033,Calculated,0.518,Table 3,20.2,Egg_to_Adult,Table 1,,,,,,,,,,,,
Egwuata & Taylor 1977,Heteroptera,Clavigralla tomentosicollis Nigeria,7.45,3.90,Tropical,"Nigeria, Ibadan",9,30,303,,,,,0.067,Calculated,0.025,Calculated,0.686,Table 3,14.9,Egg_to_Adult,Table 1,,,,,,,,,,,,
Egwuata & Taylor 1977,Heteroptera,Clavigralla tomentosicollis Nigeria,7.45,3.90,Tropical,"Nigeria, Ibadan",9,32,305,,,,,0.075,Calculated,0.038,Calculated,0.601,Table 3,13.3,Egg_to_Adult,Table 1,,,,,,,,,,,,
Egwuata & Taylor 1977,Heteroptera,Clavigralla tomentosicollis Nigeria,7.45,3.90,Tropical,"Nigeria, Ibadan",9,34,307,,,,,0.083,Calculated,0.049,Calculated,0.554,Table 3,12.0,Egg_to_Adult,Table 1,,,,,,,,,,,,
Egwuata & Taylor 1977,Heteroptera,Clavigralla tomentosicollis Nigeria,7.45,3.90,Tropical,"Nigeria, Ibadan",9,36,309,,,,,0.085,Calculated,0.097,Calculated,0.319,Table 3,11.8,Egg_to_Adult,Table 1,,,,,,,,,,,,
Egwuata & Taylor 1977,Heteroptera,Clavigralla tomentosicollis Nigeria,7.45,3.90,Tropical,"Nigeria, Ibadan",9,40,313,,,,,0,In text,,,,,,,,,,,,,,,,,,,
Dabire et al. 2005,Heteroptera,Clavigralla tomentosicollis Burkina Faso,12.38,-1.50,Tropical,"Burkina Faso, Ouagadougou, Instit de l'Environnement",9,24,297,,,,,0.026,Calculated,0.036,Calculated,0.245,"Figures 1,2",38.9,Egg_to_Adult,"Figures 1,2",,,,,,,,,,,,
Dabire et al. 2005,Heteroptera,Clavigralla tomentosicollis Burkina Faso,12.38,-1.50,Tropical,"Burkina Faso, Ouagadougou, Instit de l'Environnement",9,25,298,3.321,Calculated,158.37,Table 3,0.038,Calculated,0.026,Calculated,0.507,"Figures 1,2",26.4,Egg_to_Adult,"Figures 1,2",41.31,Calculated; Table 3,0.021,Calculated,47.69,Table 3,94.28,Calculated,0.1100,Calculated,0.134,r calculated using Eq. 7 from Amarasekare & Savage 2012
Dabire et al. 2005,Heteroptera,Clavigralla tomentosicollis Burkina Faso,12.38,-1.50,Tropical,"Burkina Faso, Ouagadougou, Instit de l'Environnement",9,27,300,,,,,0.045,Calculated,0.026,Calculated,0.565,"Figures 1,2",22.0,Egg_to_Adult,"Figures 1,2",,,,,,,,,,,,
Dabire et al. 2005,Heteroptera,Clavigralla tomentosicollis Burkina Faso,12.38,-1.50,Tropical,"Burkina Faso, Ouagadougou, Instit de l'Environnement",9,30,303,5.574,Calculated,218.04,Table 3,0.063,Calculated,0.007,Calculated,0.892,"Figures 1,2",15.8,Egg_to_Adult,"Figures 1,2",20.87,Calculated; Table 3,0.026,Calculated,39.12,Table 3,195.66,Calculated,0.2528,Calculated,0.232,r calculated using Eq. 7 from Amarasekare & Savage 2012
Dabire et al. 2005,Heteroptera,Clavigralla tomentosicollis Burkina Faso,12.38,-1.50,Tropical,"Burkina Faso, Ouagadougou, Instit de l'Environnement",9,35,308,2.385,Calculated,56.55,Table 3,0.086,Calculated,0.033,Calculated,0.679,"Figures 1,2",11.6,Egg_to_Adult,"Figures 1,2",20.93,Calculated; Table 3,0.042,Calculated,23.71,Table 3,40.78,Calculated,0.1772,Calculated,0.221,r calculated using Eq. 7 from Amarasekare & Savage 2012
Dabire et al. 2005,Heteroptera,Clavigralla tomentosicollis Burkina Faso,12.38,-1.50,Tropical,"Burkina Faso, Ouagadougou, Instit de l'Environnement",9,38,311,,,,,0.101,Calculated,0.078,Calculated,0.465,"Figures 1,2",9.9,Egg_to_Adult,"Figures 1,2",,,,,,,,,,,,
Dabire et al. 2005,Heteroptera,Clavigralla tomentosicollis Burkina Faso,12.38,-1.50,Tropical,"Burkina Faso, Ouagadougou, Instit de l'Environnement",9,40,313,1.748,Calculated,43.00,Table 3,0.144,Calculated,0.154,Calculated,0.342,"Figures 1,2",7.0,Egg_to_Adult,"Figures 1,2",14.08,Calculated; Table 3,0.041,Calculated,24.60,Table 3,20.75,Calculated,0.2153,Calculated,0.163,r calculated using Eq. 7 from Amarasekare & Savage 2012
Dabire et al. 2005,Heteroptera,Clavigralla tomentosicollis Burkina Faso,12.38,-1.50,Tropical,"Burkina Faso, Ouagadougou, Instit de l'Environnement",9,41,314,,,,,0,"Figures 1,2",,,0.023,"Figures 1,2",,,,,,,,,,,,,,,
Dabire et al. 2005,Heteroptera,Clavigralla tomentosicollis Burkina Faso,12.38,-1.50,Tropical,"Burkina Faso, Ouagadougou, Instit de l'Environnement",9,42,315,,,,,0,"Figures 1,2",,,0.005,"Figures 1,2",,,,,,,,,,,,,,,
Lu et al. 2010,Heteroptera,Apolygus lucorum China Langfang,39.53,116.7,Temperate,"China, Langfang Experimental Station",6,10,283,0.492,Calculated,28.0,Table 3,,,,,,,,,,,,0.018,Calculated,56.9,Table 3,,,,,,
Lu et al. 2010,Heteroptera,Apolygus lucorum China Langfang,39.53,116.7,Temperate,"China, Langfang Experimental Station",6,15,288,1.189,Calculated,56.7,Table 3,0.024,Calculated,0.037,Calculated,0.216,Table 3,41.1,Egg_to_Adult,Table 1,55.2,Table 3,0.021,Calculated,47.7,Table 3,22.40,Calculated,0.0563,Calculated,0.036,r calculated using Eq. 7 from Amarasekare & Savage 2012
Lu et al. 2010,Heteroptera,Apolygus lucorum China Langfang,39.53,116.7,Temperate,"China, Langfang Experimental Station",6,20,293,2.100,Calculated,84.4,Table 3,0.038,Calculated,0.043,Calculated,0.322,Table 3,26.5,Egg_to_Adult,Table 1,36.3,Table 3,0.025,Calculated,40.2,Table 3,39.56,Calculated,0.1013,Calculated,0.073,r calculated using Eq. 7 from Amarasekare & Savage 2012
Lu et al. 2010,Heteroptera,Apolygus lucorum China Langfang,39.53,116.7,Temperate,"China, Langfang Experimental Station",6,25,298,2.384,Calculated,81.3,Table 3,0.050,Calculated,0.052,Calculated,0.353,Table 3,20,Egg_to_Adult,Table 1,28.4,Table 3,0.029,Calculated,34.1,Table 3,39.85,Calculated,0.1298,Calculated,0.096,r calculated using Eq. 7 from Amarasekare & Savage 2012
Lu et al. 2010,Heteroptera,Apolygus lucorum China Langfang,39.53,116.7,Temperate,"China, Langfang Experimental Station",6,30,303,2.887,Calculated,73.9,Table 3,0.059,Calculated,0.039,Calculated,0.518,Table 3,16.9,Egg_to_Adult,Table 1,23.6,Table 3,0.039,Calculated,25.6,Table 3,44.57,Calculated,0.1609,Calculated,0.129,r calculated using Eq. 7 from Amarasekare & Savage 2012
Lu et al. 2010,Heteroptera,Apolygus lucorum China Langfang,39.53,116.7,Temperate,"China, Langfang Experimental Station",6,35,308,1.101,Calculated,21.9,Table 3,0.057,Calculated,0.172,Calculated,0.050,Table 3,17.4,Egg_to_Adult,Table 1,24.3,Table 3,0.050,Calculated,19.9,Table 3,5.47,Calculated,0.0700,Calculated,0.002,r calculated using Eq. 7 from Amarasekare & Savage 2012
Lu et al. 2009,Heteroptera,Adelphocoris suturalis China Xinxiang,35.53,114.42,Temperate,"China, Xinxiang cotton fields",6,10,283,0.385,Calculated,23.68,Figure 3,,,,,,,,,,,,0.016,Calculated,61.5,Table 3,,,,,,
Lu et al. 2009,Heteroptera,Adelphocoris suturalis China Xinxiang,35.53,114.42,Temperate,"China, Xinxiang cotton fields",6,15,288,0.781,Calculated,44.21,Figure 3,0.016,Calculated,0.025,Calculated,0.22,Figure 2,61.0,Egg_to_Adult,Table 1,117.6,Calculated,0.018,Calculated,56.6,Table 3,17.58,Calculated,0.0244,Calculated,0.022,r calculated using Eq. 7 from Amarasekare & Savage 2012
Lu et al. 2009,Heteroptera,Adelphocoris suturalis China Xinxiang,35.53,114.42,Temperate,"China, Xinxiang cotton fields",6,20,293,2.013,Calculated,70.26,Figure 3,0.030,Calculated,0.024,Calculated,0.46,Figure 2,32.8,Egg_to_Adult,Table 1,67.7,Calculated,0.029,Calculated,34.9,Table 3,39.55,Calculated,0.0543,Calculated,0.067,r calculated using Eq. 7 from Amarasekare & Savage 2012
Lu et al. 2009,Heteroptera,Adelphocoris suturalis China Xinxiang,35.53,114.42,Temperate,"China, Xinxiang cotton fields",6,25,298,2.824,Calculated,69.47,Figure 3,0.040,Calculated,0.020,Calculated,0.61,Figure 2,24.7,Egg_to_Adult,Table 1,49.3,Calculated,0.041,Calculated,24.6,Table 3,46.49,Calculated,0.0779,Calculated,0.100,r calculated using Eq. 7 from Amarasekare & Savage 2012
Lu et al. 2009,Heteroptera,Adelphocoris suturalis China Xinxiang,35.53,114.42,Temperate,"China, Xinxiang cotton fields",6,30,303,2.487,Calculated,49.74,Figure 3,0.050,Calculated,0.043,Calculated,0.42,Figure 2,20.2,Egg_to_Adult,Table 1,40.2,Calculated,0.050,Calculated,20.0,Table 3,26.63,Calculated,0.0816,Calculated,0.098,r calculated using Eq. 7 from Amarasekare & Savage 2012
Lu et al. 2009,Heteroptera,Adelphocoris suturalis China Xinxiang,35.53,114.42,Temperate,"China, Xinxiang cotton fields",6,35,308,2.225,Calculated,33.16,Figure 3,0.045,Calculated,0.095,Calculated,0.12,Figure 2,22.4,Egg_to_Adult,Table 1,37.3,Calculated,0.067,Calculated,14.9,Table 3,10.63,Calculated,0.0634,Calculated,0.04,r calculated using Eq. 7 from Amarasekare & Savage 2012
Lu et al. 2009,Heteroptera,Adelphocoris fasciatiocollis China Tianjin,38.55,117.38,Temperate,"China, Chanzhou alfalfa fields",6,10,283,0.416,Calculated,18.10,Figure 3,,,,,,,,,,,,0.023,Calculated,43.5,Table 3,,,,,,
Lu et al. 2009,Heteroptera,Adelphocoris fasciatiocollis China Tianjin,38.55,117.38,Temperate,"China, Chanzhou alfalfa fields",6,15,288,0.966,Calculated,36.71,Figure 3,0.019,Calculated,0.029,Calculated,0.22,Figure 2,52.3,Egg_to_Adult,Table 1,90.3,Calculated,0.026,Calculated,38.0,Table 3,14.60,Calculated,0.0297,Calculated,0.026,r calculated using Eq. 7 from Amarasekare & Savage 2012
Lu et al. 2009,Heteroptera,Adelphocoris fasciatiocollis China Tianjin,38.55,117.38,Temperate,"China, Chanzhou alfalfa fields",6,20,293,1.455,Calculated,53.71,Figure 3,0.027,Calculated,0.031,Calculated,0.31,Figure 2,37.4,Egg_to_Adult,Table 1,74.3,Calculated,0.027,Calculated,36.9,Table 3,24.74,Calculated,0.0432,Calculated,0.049,r calculated using Eq. 7 from Amarasekare & Savage 2012
Lu et al. 2009,Heteroptera,Adelphocoris fasciatiocollis China Tianjin,38.55,117.38,Temperate,"China, Chanzhou alfalfa fields",6,25,298,2.166,Calculated,66.71,Figure 3,0.038,Calculated,0.030,Calculated,0.45,Figure 2,26.3,Egg_to_Adult,Table 1,57.1,Calculated,0.032,Calculated,30.8,Table 3,37.09,Calculated,0.0633,Calculated,0.082,r calculated using Eq. 7 from Amarasekare & Savage 2012
Lu et al. 2009,Heteroptera,Adelphocoris fasciatiocollis China Tianjin,38.55,117.38,Temperate,"China, Chanzhou alfalfa fields",6,30,303,1.558,Calculated,46.91,Figure 3,0.047,Calculated,0.039,Calculated,0.43,Figure 2,21.4,Egg_to_Adult,Table 1,51.5,Calculated,0.033,Calculated,30.1,Table 3,25.44,Calculated,0.0628,Calculated,0.083,r calculated using Eq. 7 from Amarasekare & Savage 2012
Lu et al. 2009,Heteroptera,Adelphocoris fasciatiocollis China Tianjin,38.55,117.38,Temperate,"China, Chanzhou alfalfa fields",6,35,308,1.557,Calculated,26.31,Figure 3,0.047,Calculated,0.112,Calculated,0.09,Figure 2,21.5,Egg_to_Adult,Table 1,38.4,Calculated,0.059,Calculated,16.9,Table 3,7.72,Calculated,0.0532,Calculated,0.025,r calculated using Eq. 7 from Amarasekare & Savage 2012
Lu et al. 2009,Heteroptera,Adelphocoris lineolatus China Langfang,39.88,117.17,Temperate,"China, Chanzhou alfalfa fields",6,10,283,0.349,Calculated,19.74,Figure 3,,,,,,,,,,,,0.018,Calculated,56.6,Table 3,,,,,,
Lu et al. 2009,Heteroptera,Adelphocoris lineolatus China Langfang,39.88,117.17,Temperate,"China, Chanzhou alfalfa fields",6,15,288,1.350,Calculated,67.11,Figure 3,0.014,Calculated,0.022,Calculated,0.22,Figure 2,70.3,Egg_to_Adult,Table 1,120.0,Calculated,0.020,Calculated,49.7,Table 3,26.69,Calculated,0.0274,Calculated,0.025,r calculated using Eq. 7 from Amarasekare & Savage 2012
Lu et al. 2009,Heteroptera,Adelphocoris lineolatus China Langfang,39.88,117.17,Temperate,"China, Chanzhou alfalfa fields",6,20,293,3.140,Calculated,82.89,Figure 3,0.028,Calculated,0.028,Calculated,0.36,Figure 2,36.1,Egg_to_Adult,Table 1,62.5,Calculated,0.038,Calculated,26.4,Table 3,41.00,Calculated,0.0594,Calculated,0.067,r calculated using Eq. 7 from Amarasekare & Savage 2012
Lu et al. 2009,Heteroptera,Adelphocoris lineolatus China Langfang,39.88,117.17,Temperate,"China, Chanzhou alfalfa fields",6,25,298,4.025,Calculated,102.63,Figure 3,0.036,Calculated,0.023,Calculated,0.53,Figure 2,27.6,Egg_to_Adult,Table 1,53.1,Calculated,0.039,Calculated,25.5,Table 3,62.78,Calculated,0.0780,Calculated,0.099,r calculated using Eq. 7 from Amarasekare & Savage 2012
Lu et al. 2009,Heteroptera,Adelphocoris lineolatus China Langfang,39.88,117.17,Temperate,"China, Chanzhou alfalfa fields",6,30,303,4.612,Calculated,93.16,Figure 3,0.047,Calculated,0.039,Calculated,0.43,Figure 2,21.4,Egg_to_Adult,Table 1,41.6,Calculated,0.050,Calculated,20.2,Table 3,50.52,Calculated,0.0943,Calculated,0.117,r calculated using Eq. 7 from Amarasekare & Savage 2012
Lu et al. 2009,Heteroptera,Adelphocoris lineolatus China Langfang,39.88,117.17,Temperate,"China, Chanzhou alfalfa fields",6,35,308,3.148,Calculated,48.16,Figure 3,0.046,Calculated,0.128,Calculated,0.06,Figure 2,21.9,Egg_to_Adult,Table 1,37.2,Calculated,0.065,Calculated,15.3,Table 3,12.63,Calculated,0.0682,Calculated,0.032,r calculated using Eq. 7 from Amarasekare & Savage 2012
Nishikawa et al. 2010,Heteroptera,Pilophorus typicus Japan Kochi,33.62,133.67,Sub-tropical,"Japan, Monobe campus on B. tabaci on eggplant",6,17.5,290.7,0.217,Calculated,12.0,Table 2,0.014,Calculated,0.015,Calculated,0.34,Table 1,72.0,Egg_to_Adult,Table 1,101.9,Table 3,0.018,Calculated,55.2,Table 2,1.8,Table 3,0.006,Table 3,,
Nishikawa et al. 2010,Heteroptera,Pilophorus typicus Japan Kochi,33.62,133.67,Sub-tropical,"Japan, Monobe campus on B. tabaci on eggplant",6,20,293,0.519,Calculated,23.7,Table 2,0.022,Calculated,0.008,Calculated,0.68,Table 1,45.9,Egg_to_Adult,Table 1,67.4,Table 3,0.022,Calculated,45.7,Table 2,6.5,Table 3,0.0283,Table 3,,
Nishikawa et al. 2010,Heteroptera,Pilophorus typicus Japan Kochi,33.62,133.67,Sub-tropical,"Japan, Monobe campus on B. tabaci on eggplant",6,22.5,295.7,1.864,Calculated,87.4,Table 2,0.030,Calculated,0.007,Calculated,0.80,Table 1,33.5,Egg_to_Adult,Table 1,54.2,Table 3,0.021,Calculated,46.9,Table 2,29.1,Table 3,0.0667,Table 3,,
Nishikawa et al. 2010,Heteroptera,Pilophorus typicus Japan Kochi,33.62,133.67,Sub-tropical,"Japan, Monobe campus on B. tabaci on eggplant",6,25,298,2.484,Calculated,121.2,Table 2,0.035,Calculated,0.018,Calculated,0.60,Table 1,28.4,Egg_to_Adult,Table 1,50.1,Table 3,0.020,Calculated,48.8,Table 2,30.0,Table 3,0.0747,Table 3,,
