Reference,Subfamily,Population,Lat,Long,Habitat,Location,N_Temps,T_C,T_K,Birth_Rate,Birth_Source,Fecundity,Fec_Source,Development,Dev_Source,Juv_Mortality,Jmort_Source,Survivorship,Surv_Source,Juv_Duration,Juv_Stages,Juv_Source,Gen_Time,Gen_Source,Adult_Mortality,Amort_Source,Adult_Longevity,Long_Source,R0,R0_Source,r_m,r_m_Source,Notes,
Nishikawa et al. 2010,Heteroptera,Pilophorus typicus Japan Kochi,33.62,133.67,Sub-tropical,"Japan, Monobe campus on B. tabaci on eggplant",6,27.5,300.7,3.101,Calculated,91.8,Table 2,0.043,Calculated,0.044,Calculated,0.36,Table 1,23.1,Egg_to_Adult,Table 1,35.7,Table 3,0.034,Calculated,29.6,Table 2,12.7,Table 3,0.0752,Table 3,,
Nishikawa et al. 2010,Heteroptera,Pilophorus typicus Japan Kochi,33.62,133.67,Sub-tropical,"Japan, Monobe campus on B. tabaci on eggplant",6,30,303,2.800,Calculated,50.4,Table 2,0.048,Calculated,0.058,Calculated,0.30,Table 1,20.7,Egg_to_Adult,Table 1,30.2,Table 3,0.056,Calculated,18.0,Table 2,5.3,Table 3,0.0566,Table 3,,
Ugine 2012,Heteroptera,Lygus lineolaris US Leland,33.42,-90.9,Sub-tropical,"USA, Stoneville, MS USDA Biological Control of Pests Research Unit",7,17,290,4.4,Table 4,111.3,Table 4,0.020,Calculated,0.009,Calculated,0.64,Table 3,49.4,Egg_to_Adult,Table 1,61.5,Table 5,0.025,Calculated,39.4,Table 4,35.7,Table 5,0.0581,Table 5,,
Ugine 2012,Heteroptera,Lygus lineolaris US Leland,33.42,-90.9,Sub-tropical,"USA, Stoneville, MS USDA Biological Control of Pests Research Unit",7,18,291,3.7,Table 4,73.6,Table 4,0.024,Calculated,0.008,Calculated,0.73,Table 3,41.8,Egg_to_Adult,Table 1,49.2,Table 5,0.029,Calculated,34.7,Table 4,27.5,Table 5,0.0673,Table 5,,
Ugine 2012,Heteroptera,Lygus lineolaris US Leland,33.42,-90.9,Sub-tropical,"USA, Stoneville, MS USDA Biological Control of Pests Research Unit",7,21,294,5.0,Table 4,72.8,Table 4,,,,,,,,,,36.2,Table 5,0.041,Calculated,24.5,Table 4,30.4,Table 5,0.0942,Table 5,,
Ugine 2012,Heteroptera,Lygus lineolaris US Leland,33.42,-90.9,Sub-tropical,"USA, Stoneville, MS USDA Biological Control of Pests Research Unit",7,25,298,6.4,Table 4,125.7,Table 4,0.044,Calculated,0.002,Calculated,0.94,Table 3,22.9,Egg_to_Adult,Table 1,28.5,Table 5,0.038,Calculated,26.3,Table 4,59.4,Table 5,0.1434,Table 5,,
Ugine 2012,Heteroptera,Lygus lineolaris US Leland,33.42,-90.9,Sub-tropical,"USA, Stoneville, MS USDA Biological Control of Pests Research Unit",7,27,300,8.8,Table 4,174.7,Table 4,0.048,Calculated,0.008,Calculated,0.85,Table 3,20.8,Egg_to_Adult,Table 1,25.7,Table 5,0.036,Calculated,27.8,Table 4,74.5,Table 5,0.1674,Table 5,,
Ugine 2012,Heteroptera,Lygus lineolaris US Leland,33.42,-90.9,Sub-tropical,"USA, Stoneville, MS USDA Biological Control of Pests Research Unit",7,30,303,9.5,Table 4,110.8,Table 4,0.053,Calculated,0.006,Calculated,0.89,Table 3,18.8,Egg_to_Adult,Table 1,21,Table 5,0.057,Calculated,17.6,Table 4,49.1,Table 5,0.1852,Table 5,,
Ugine 2012,Heteroptera,Lygus lineolaris US Leland,33.42,-90.9,Sub-tropical,"USA, Stoneville, MS USDA Biological Control of Pests Research Unit",7,32,305,7.0,Table 4,77.3,Table 4,0.057,Calculated,0.008,Calculated,0.87,Table 3,17.4,Egg_to_Adult,Table 1,21.3,Table 5,0.056,Calculated,17.7,Table 4,33.7,Table 5,0.1650,Table 5,,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on Citrus unshiu Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",5,14.9,288.1,1.12,Calculated,53.90,Table 1,0.063,Calculated,0.001,Calculated,0.98,Table 1,15.96,N1_to_Repro,Table 1,21.7,Table 1,0.021,Calculated,48,Table 1,52.83,Calculated,0.1818,Figure 1,,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on Citrus unshiu Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",5,20.1,293.3,2.06,Calculated,58.46,Table 1,0.123,Calculated,0.002,Calculated,0.98,Table 1,8.1,N1_to_Repro,Table 1,11.2,Table 1,0.035,Calculated,28.43,Table 1,57.30,Calculated,0.3628,Figure 1,,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on Citrus unshiu Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",5,24.9,298.1,3.06,Calculated,68.24,Table 1,0.158,Calculated,0.011,Calculated,0.93,Table 1,6.33,N1_to_Repro,Table 1,8.9,Table 1,0.045,Calculated,22.29,Table 1,63.62,Calculated,0.4670,Figure 1,,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on Citrus unshiu Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",5,27.6,300.8,3.80,Calculated,55.31,Table 1,0.162,Calculated,0.028,Calculated,0.84,Table 1,6.19,N1_to_Repro,Table 1,8.53,Table 1,0.069,Calculated,14.57,Table 1,47.10,Calculated,0.4492,Figure 1,,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on Citrus unshiu Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",5,29.7,302.9,0.00,Calculated,0.00,Table 1,0.000,Calculated,,,0,Table 1,,,,,,0.122,Calculated,8.18,Table 1,0.00,Calculated,-0.1220,r calculated using Eq. 7 from Amarasekare & Savage 2012,,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on Citrus aurantium Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",7,11.3,284.5,0.41,Calculated,29.51,Table 1,0.029,Calculated,0.005,Calculated,0.85,Table 2,34.65,N1_to_Repro,Table 2,43.3,Table 2,0.014,Calculated,71.79,Table 2,25.38,Calculated,0.0717,Figure 1,,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on Citrus aurantium Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",7,15.2,288.4,1.04,Calculated,51.94,Table 1,0.052,Calculated,0.008,Calculated,0.86,Table 2,19.22,N1_to_Repro,Table 2,27.1,Table 2,0.020,Calculated,49.87,Table 2,45.13,Calculated,0.1382,Figure 1,,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on Citrus aurantium Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",7,19.9,293.1,1.86,Calculated,47.82,Table 1,0.078,Calculated,0.019,Calculated,0.78,Table 2,12.87,N1_to_Repro,Table 2,18.7,Table 2,0.039,Calculated,25.76,Table 2,38.30,Calculated,0.1958,Figure 1,,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on Citrus aurantium Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",7,21.5,294.7,2.36,Calculated,55.64,Table 1,0.114,Calculated,0.011,Calculated,0.91,Table 2,8.77,N1_to_Repro,Table 2,12.3,Table 2,0.042,Calculated,23.56,Table 2,50.84,Calculated,0.3208,Figure 1,,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on Citrus aurantium Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",7,25.1,298.3,2.31,Calculated,40.40,Table 1,0.131,Calculated,0.021,Calculated,0.85,Table 2,7.66,N1_to_Repro,Table 2,11.3,Table 2,0.057,Calculated,17.48,Table 2,34.75,Calculated,0.3182,Figure 1,,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on Citrus aurantium Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",7,27.1,300.3,2.92,Calculated,40.53,Table 1,0.154,Calculated,0.016,Calculated,0.90,Table 2,6.49,N1_to_Repro,Table 2,9.16,Table 2,0.072,Calculated,13.87,Table 2,36.67,Calculated,0.4266,Figure 1,,
Komazaki 1982,Sternorrhyncha,Toxoptera citricidus on Citrus aurantium Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",7,29.9,303.1,0.35,Calculated,3.01,Table 1,0.136,Calculated,0.069,Calculated,0.60,Table 2,7.37,N1_to_Repro,Table 2,8.35,Table 2,0.116,Calculated,8.61,Table 2,1.99,Calculated,0.1638,Figure 1,,
Komazaki 1982,Sternorrhyncha,Aphis citricola Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",6,14.7,287.9,0.88,Calculated,54.24,Table 3,0.067,Calculated,0.003,Calculated,0.95,Table 3,14.95,N1_to_Repro,Table 3,22.1,Table 3,0.016,Calculated,61.71,Table 3,51.59,Calculated,0.1792,Figure 2,,
Komazaki 1982,Sternorrhyncha,Aphis citricola Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",6,19.5,292.7,1.95,Calculated,64.43,Table 3,0.104,Calculated,0.006,Calculated,0.94,Table 3,9.59,N1_to_Repro,Table 3,14.8,Table 3,0.030,Calculated,33.06,Table 3,60.68,Calculated,0.2766,Figure 2,,
Komazaki 1982,Sternorrhyncha,Aphis citricola Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",6,25.1,298.3,2.41,Calculated,36.58,Table 3,0.180,Calculated,0.036,Calculated,0.82,Table 3,5.56,N1_to_Repro,Table 3,8.21,Table 3,0.066,Calculated,15.16,Table 3,30.52,Calculated,0.4198,Figure 2,,
Komazaki 1982,Sternorrhyncha,Aphis citricola Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",6,27.2,300.4,2.03,Calculated,26.06,Table 3,0.182,Calculated,0.013,Calculated,0.93,Table 3,5.5,N1_to_Repro,Table 3,7.39,Table 3,0.078,Calculated,12.85,Table 3,24.30,Calculated,0.4365,Figure 2,,
Komazaki 1982,Sternorrhyncha,Aphis citricola Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",6,29.5,302.7,0.60,Calculated,6.48,Table 3,0.159,Calculated,0.068,Calculated,0.65,Table 3,6.29,N1_to_Repro,Table 3,7.73,Table 3,0.092,Calculated,10.84,Table 3,4.53,Calculated,0.2264,Figure 2,,
Komazaki 1982,Sternorrhyncha,Aphis citricola Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",6,30.1,303.3,0.11,Calculated,1.25,Table 3,0.147,Calculated,0.146,Calculated,0.37,Table 3,6.82,N1_to_Repro,Table 3,7.3,Table 3,0.090,Calculated,11.16,Table 3,0.63,Calculated,-0.0005,Figure 2,,
Komazaki 1982,Sternorrhyncha,Aphis gossypii Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",5,15.2,288.4,1.05,Calculated,52.94,Table 4,0.071,Calculated,0.007,Calculated,0.90,Table 4,14.17,N1_to_Repro,Table 4,22.51,Table 4,0.020,Calculated,50.47,Table 4,47.89,Calculated,0.1716,Figure 2,,
Komazaki 1982,Sternorrhyncha,Aphis gossypii Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",5,19.8,293.0,1.91,Calculated,63.57,Table 4,0.132,Calculated,0.012,Calculated,0.91,Table 4,7.57,N1_to_Repro,Table 4,12.05,Table 4,0.030,Calculated,33.23,Table 4,58.09,Calculated,0.3391,Figure 2,,
Komazaki 1982,Sternorrhyncha,Aphis gossypii Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",5,24.5,297.7,1.40,Calculated,25.78,Table 4,0.144,Calculated,0.015,Calculated,0.90,Table 4,6.93,N1_to_Repro,Table 4,10.49,Table 4,0.054,Calculated,18.45,Table 4,23.32,Calculated,0.3025,Figure 2,,
Komazaki 1982,Sternorrhyncha,Aphis gossypii Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",5,27.5,300.7,1.40,Calculated,13.44,Table 4,0.145,Calculated,0.082,Calculated,0.57,Table 4,6.88,N1_to_Repro,Table 4,9.79,Table 4,0.104,Calculated,9.6,Table 4,8.60,Calculated,0.2218,Figure 2,,
Komazaki 1982,Sternorrhyncha,Aphis gossypii Japan Chiba,35.38,140.07,Sub-tropical,"Japan, Okitsu Fruit Tree Research Station",5,29.7,302.9,0.51,Calculated,4.60,Table 4,0.162,Calculated,0.083,Calculated,0.60,Table 4,6.17,N1_to_Repro,Table 4,7.40,Table 4,0.112,Calculated,8.94,Table 4,3.04,Calculated,0.1609,Figure 2,,
Morgan et al. 2001,Sternorrhyncha,Acyrthosiphon pisum on cv. Sancho UK Sand Hutton,54.02,-0.97,Temperate,"UK, York on pea cv. Sancho",5,11.9,285.1,4.0,Table 3,53.3,Table 3,0.062,Calculated,0.012,Calculated,0.82,Table 2,16.2,N1_to_Adult,Table 1,21.2,Table 4,0.076,Calculated,13.2,Table 3,53.3,Table 4,0.188,Table 4,,
Morgan et al. 2001,Sternorrhyncha,Acyrthosiphon pisum on cv. Sancho UK Sand Hutton,54.02,-0.97,Temperate,"UK, York on pea cv. Sancho",5,16.6,289.8,4.2,Table 3,44.2,Table 3,0.095,Calculated,0,Calculated,1,Table 2,10.5,N1_to_Adult,Table 1,14.1,Table 4,0.092,Calculated,10.9,Table 3,44.2,Table 4,0.268,Table 4,,
Morgan et al. 2001,Sternorrhyncha,Acyrthosiphon pisum on cv. Sancho UK Sand Hutton,54.02,-0.97,Temperate,"UK, York on pea cv. Sancho",5,19.6,292.8,5.5,Table 3,65.7,Table 3,0.110,Calculated,0,Calculated,1,Table 2,9.1,N1_to_Adult,Table 1,13.3,Table 4,0.083,Calculated,12.1,Table 3,65.7,Table 4,0.315,Table 4,,
Morgan et al. 2001,Sternorrhyncha,Acyrthosiphon pisum on cv. Sancho UK Sand Hutton,54.02,-0.97,Temperate,"UK, York on pea cv. Sancho",5,23.1,296.3,3.5,Table 3,38.3,Table 3,0.119,Calculated,0.136,Calculated,0.32,Table 2,8.4,N1_to_Adult,Table 1,11.1,Table 4,0.093,Calculated,10.7,Table 3,38.3,Table 4,0.328,Table 4,,
Morgan et al. 2001,Sternorrhyncha,Acyrthosiphon pisum on cv. Sancho UK Sand Hutton,54.02,-0.97,Temperate,"UK, York on pea cv. Sancho",5,26.7,299.9,5.3,Table 3,42.3,Table 3,0.114,Calculated,0.097,Calculated,0.43,Table 2,8.8,N1_to_Adult,Table 1,11.9,Table 4,0.112,Calculated,8.9,Table 3,42.3,Table 4,0.316,Table 4,,
Morgan et al. 2001,Sternorrhyncha,Acyrthosiphon pisum UK Sand Hutton,54.02,-0.97,Temperate,"UK, York on pea cv. Scout",5,11.9,285.1,2.6,Table 3,22.1,Table 3,0.060,Calculated,0.035,Calculated,0.55,Table 2,16.8,N1_to_Adult,Table 1,20.0,Table 4,0.132,Calculated,7.6,Table 3,19.5,Table 4,0.149,Table 4,,
Morgan et al. 2001,Sternorrhyncha,Acyrthosiphon pisum UK Sand Hutton,54.02,-0.97,Temperate,"UK, York on pea cv. Scout",5,16.6,289.8,3.7,Table 3,60.1,Table 3,0.087,Calculated,0.076,Calculated,0.42,Table 2,11.5,N1_to_Adult,Table 1,18.5,Table 4,0.070,Calculated,14.3,Table 3,49.0,Table 4,0.210,Table 4,,
Morgan et al. 2001,Sternorrhyncha,Acyrthosiphon pisum UK Sand Hutton,54.02,-0.97,Temperate,"UK, York on pea cv. Scout",5,19.6,292.8,4.6,Table 3,52.2,Table 3,0.101,Calculated,0.040,Calculated,0.67,Table 2,9.9,N1_to_Adult,Table 1,13.5,Table 4,0.101,Calculated,9.9,Table 3,46.1,Table 4,0.284,Table 4,,
Morgan et al. 2001,Sternorrhyncha,Acyrthosiphon pisum UK Sand Hutton,54.02,-0.97,Temperate,"UK, York on pea cv. Scout",5,23.1,296.3,2.0,Table 3,13.5,Table 3,0.116,Calculated,0.097,Calculated,0.44,Table 2,8.6,N1_to_Adult,Table 1,9.30,Table 4,0.156,Calculated,6.4,Table 3,13.5,Table 4,0.281,Table 4,,
Morgan et al. 2001,Sternorrhyncha,Acyrthosiphon pisum UK Sand Hutton,54.02,-0.97,Temperate,"UK, York on pea cv. Scout",5,26.7,299.9,3.1,Table 3,9.70,Table 3,0.118,Calculated,0.278,Calculated,0.09,Table 2,8.5,N1_to_Adult,Table 1,9.00,Table 4,0.333,Calculated,3.0,Table 3,9.7,Table 4,0.252,Table 4,,
Wang & Tsai 1996,Sternorrhyncha,Bemisia argentifollii US Homestead,25.47,-80.48,Sub-tropical,"USA, Homestead, FL on eggplants",6,15,288,0,,,,0.010,Calculated,0.009,Calculated,0.40,Table 3,104.9,Egg_to_Adult,Table 1,,,,,,,,,,,,
Wang & Tsai 1996,Sternorrhyncha,Bemisia argentifollii US Homestead,25.47,-80.48,Sub-tropical,"USA, Homestead, FL on eggplants",6,20,293,7.31,Calculated,324.41,Table 4,0.034,Calculated,0.015,Calculated,0.65,Table 3,29.8,Egg_to_Adult,Table 1,45.73,Table 5,0.023,Calculated,44.36,Table 4,131.41,Table 5,0.107,Table 5,,
Wang & Tsai 1996,Sternorrhyncha,Bemisia argentifollii US Homestead,25.47,-80.48,Sub-tropical,"USA, Homestead, FL on eggplants",6,25,298,9.31,Calculated,223.67,Table 4,0.057,Calculated,0.007,Calculated,0.89,Table 3,17.6,Egg_to_Adult,Table 1,25.59,Table 5,0.042,Calculated,24.03,Table 4,128.24,Table 5,0.192,Table 5,,
Wang & Tsai 1996,Sternorrhyncha,Bemisia argentifollii US Homestead,25.47,-80.48,Sub-tropical,"USA, Homestead, FL on eggplants",6,27,300,10.43,Calculated,186.42,Table 4,0.063,Calculated,0.026,Calculated,0.66,Table 3,16.0,Egg_to_Adult,Table 1,22.91,Table 5,0.056,Calculated,17.87,Table 4,78.86,Table 5,0.191,Table 5,,
Wang & Tsai 1996,Sternorrhyncha,Bemisia argentifollii US Homestead,25.47,-80.48,Sub-tropical,"USA, Homestead, FL on eggplants",6,30,303,4.54,Calculated,57.76,Table 4,0.074,Calculated,0.039,Calculated,0.59,Table 3,13.6,Egg_to_Adult,Table 1,18.41,Table 5,0.079,Calculated,12.73,Table 4,22.28,Table 5,0.169,Table 5,,
Wang & Tsai 1996,Sternorrhyncha,Bemisia argentifollii US Homestead,25.47,-80.48,Sub-tropical,"USA, Homestead, FL on eggplants",6,35,308,2.08,Calculated,21.67,Table 4,0.053,Calculated,0.053,Calculated,0.37,Table 3,18.8,Egg_to_Adult,Table 1,23.00,Table 5,0.096,Calculated,10.43,Table 4,5.30,Table 5,0.073,Table 5,,
Tsai & Liu 1998,Sternorrhyncha,Rhopalosiphum rufiabdominalis US Naples,26.14,-81.79,Sub-tropical,"USA, Naples, FL on red wild rice",6,10,283,1.66,Calculated,49.27,Table 4,0.048,Calculated,0.010,Calculated,0.81,Table 3,20.7,N1_to_Adult,Table 1,32.28,Table 5,0.034,Calculated,29.73,Table 4,40.90,Table 5,0.115,Table 5,,
Tsai & Liu 1998,Sternorrhyncha,Rhopalosiphum rufiabdominalis US Naples,26.14,-81.79,Sub-tropical,"USA, Naples, FL on red wild rice",6,15,288,2.23,Calculated,54.40,Table 4,0.088,Calculated,0.015,Calculated,0.85,Table 3,11.3,N1_to_Adult,Table 1,19.15,Table 5,0.041,Calculated,24.43,Table 4,45.70,Table 5,0.200,Table 5,,
Tsai & Liu 1998,Sternorrhyncha,Rhopalosiphum rufiabdominalis US Naples,26.14,-81.79,Sub-tropical,"USA, Naples, FL on red wild rice",6,20,293,3.44,Calculated,63.32,Table 4,0.156,Calculated,0.016,Calculated,0.90,Table 3,6.4,N1_to_Adult,Table 1,11.33,Table 5,0.054,Calculated,18.41,Table 4,57.23,Table 5,0.357,Table 5,,
Tsai & Liu 1998,Sternorrhyncha,Rhopalosiphum rufiabdominalis US Naples,26.14,-81.79,Sub-tropical,"USA, Naples, FL on red wild rice",6,25,298,4.31,Calculated,56.49,Table 4,0.208,Calculated,0.066,Calculated,0.73,Table 3,4.8,N1_to_Adult,Table 1,8.70,Table 5,0.076,Calculated,13.1,Table 4,42.58,Table 5,0.432,Table 5,,
Tsai & Liu 1998,Sternorrhyncha,Rhopalosiphum rufiabdominalis US Naples,26.14,-81.79,Sub-tropical,"USA, Naples, FL on red wild rice",6,30,303,3.38,Calculated,31.88,Table 4,0.227,Calculated,0.146,Calculated,0.53,Table 3,4.4,N1_to_Adult,Table 1,7.84,Table 5,0.106,Calculated,9.42,Table 4,17.50,Table 5,0.364,Table 5,,
Tsai & Liu 1998,Sternorrhyncha,Rhopalosiphum rufiabdominalis US Naples,26.14,-81.79,Sub-tropical,"USA, Naples, FL on red wild rice",6,35,308,0,Calculated,,,0,Calculated,,,0,Table 3,,,,,,,,,,0,Calculated,,,,
Wang et al. 1997,Sternorrhyncha,Aphis nasturtii US Weston,26.14,-80.45,Sub-tropical,"USA, Broward County, FL, on pigeonpea",7,10,283,0.21,Calculated,2.8,Table 3,0.029,Calculated,0.056,Calculated,0.15,Table 2,33.9,N1_to_Adult,Table 1,40.3,Table 4,0.076,Calculated,13.1,Table 3,0.42,Table 4,-0.022,Table 4,,
Wang et al. 1997,Sternorrhyncha,Aphis nasturtii US Weston,26.14,-80.45,Sub-tropical,"USA, Broward County, FL, on pigeonpea",7,15,288,1.82,Calculated,55.0,Table 3,0.062,Calculated,0.008,Calculated,0.88,Table 2,16.1,N1_to_Adult,Table 1,25.2,Table 4,0.033,Calculated,30.2,Table 3,48.10,Table 4,0.154,Table 4,,
Wang et al. 1997,Sternorrhyncha,Aphis nasturtii US Weston,26.14,-80.45,Sub-tropical,"USA, Broward County, FL, on pigeonpea",7,20,293,1.81,Calculated,47.6,Table 3,0.100,Calculated,0.039,Calculated,0.68,Table 2,10.0,N1_to_Adult,Table 1,17.8,Table 4,0.038,Calculated,26.3,Table 3,32.12,Table 4,0.195,Table 4,,
Wang et al. 1997,Sternorrhyncha,Aphis nasturtii US Weston,26.14,-80.45,Sub-tropical,"USA, Broward County, FL, on pigeonpea",7,25,298,2.82,Calculated,46.8,Table 3,0.128,Calculated,0.065,Calculated,0.60,Table 2,7.80,N1_to_Adult,Table 1,12.7,Table 4,0.060,Calculated,16.6,Table 3,28.09,Table 4,0.263,Table 4,,
Wang et al. 1997,Sternorrhyncha,Aphis nasturtii US Weston,26.14,-80.45,Sub-tropical,"USA, Broward County, FL, on pigeonpea",7,27,300,3.14,Calculated,45.8,Table 3,0.167,Calculated,0.054,Calculated,0.73,Table 2,6.00,N1_to_Adult,Table 1,10.6,Table 4,0.068,Calculated,14.6,Table 3,33.23,Table 4,0.332,Table 4,,
Wang et al. 1997,Sternorrhyncha,Aphis nasturtii US Weston,26.14,-80.45,Sub-tropical,"USA, Broward County, FL, on pigeonpea",7,30,303,2.13,Calculated,17.9,Table 3,0.175,Calculated,0.069,Calculated,0.68,Table 2,5.70,N1_to_Adult,Table 1,9.2,Table 4,0.119,Calculated,8.4,Table 3,12.07,Table 4,0.270,Table 4,,
Wang et al. 1997,Sternorrhyncha,Aphis nasturtii US Weston,26.14,-80.45,Sub-tropical,"USA, Broward County, FL, on pigeonpea",7,35,308,0.79,Calculated,5.5,Table 3,0.152,Calculated,0.149,Calculated,0.38,Table 2,6.60,N1_to_Adult,Table 1,8.3,Table 4,0.143,Calculated,7.0,Table 3,1.03,Table 4,-0.014,Table 4,,
Liu & Tsai 2000,Sternorrhyncha,Diaphorina citri US Pompano Beach,26.24,-80.12,Sub-tropical,"USA, Pompano Beach, FL, on orange jessamine",7,10,283,,,,,0,Calculated,,,0,Table 2,,,,,,,,,,,,,,,
Liu & Tsai 2000,Sternorrhyncha,Diaphorina citri US Pompano Beach,26.24,-80.12,Sub-tropical,"USA, Pompano Beach, FL, on orange jessamine",7,15,288,1.94,Calculated,171,Table 4,0.020,Calculated,0.010,Calculated,0.62,Table 2,49.3,Egg_to_Adult,Table 1,116.8,Table 5,0.011,Calculated,88.3,Table 4,63.8,Table 5,0.036,Table 5,,
