Species,Latitude,Habitat,subfamily,meanT.h,amplT.h,shiftT.h,delta_mean.h,delta_ampl.h,amplD.h,meanT.f,amplT.f,shiftT.f,delta_mean.f,delta_ampl.f,amplD.f,Tstart,Notes
Clavigralla shadabi Benin,6.45,Tropical,Heteroptera,300.6,1.4,120.6,0,0,0,301.5,1,117.2,0.000124,0,0,,
Clavigralla tomentosicollis Benin,6.45,Tropical,Heteroptera,300.6,1.4,120.6,0,0,0,301.5,1,117.2,0.000124,0,0,,
Clavigralla tomentosicollis Nigeria,7.45,Tropical,Heteroptera,301,1.7,126.6,0,0,0,301.3,1.2,109.7,0.000151,0,0,,
Clavigralla tomentosicollis Burkina Faso,12.38,Tropical,Heteroptera,302,2.5,44.3,0,0,0,303.1,-3.4,-48.5,0.000177,-0.000023,0,,
Apolygus lucorum China Dafeng,33.33,Temperate,Heteroptera,288.5,-12.6,-213.1,0,0,0,291.4,1.3,-20.6,0.000125,0.00002,0,295.7,
Adelphocoris suturalis China Dafeng,33.33,Temperate,Heteroptera,288.5,-12.6,-213.1,0,0,0,291.4,1.3,-20.6,0.000125,0.00002,0,295.7,
Apolygus lucorum China Langfang,39.88,Temperate,Heteroptera,285.7,15.1,-22.1,0,0,0,284.5,15.7,-10.7,0.000156,0,0,293.2,
Adelphocoris suturalis China Xinxiang,35.53,Temperate,Heteroptera,287.6,-13.9,-205.2,0,0,0,288.5,14.6,-13.5,0.000157,0.000026,0,292.9,
Macrolophus pygmaeus on Myzus persicae Greece,38.38,Mediterranean,Heteroptera,291.6,8.9,-36.3,0,0,0,287.4,15.7,-12.3,0.00016,0.000017,0,,
Macrolophus pygmaeus on Trialeurodes vaporariorum Greece,38.38,Mediterranean,Heteroptera,291.6,8.9,-36.3,0,0,0,287.4,15.7,-12.3,0.00016,0.000017,0,,
Macrosiphum euphorbiae Brazil,21.23,Tropical,Sternorrhyncha,292.9,-2.5,45.6,0,0,0,293.7,-3.4,-0.2,0.000133,0,0,,Not great resolution for historical temperature data
Aulacorthum solani Brazil,21.23,Tropical,Sternorrhyncha,292.9,-2.5,45.6,0,0,0,293.7,-3.4,-0.2,0.000133,0,0,,Not great resolution for historical temperature data
Uroleucon ambrosiae Brazil,21.23,Tropical,Sternorrhyncha,292.9,-2.5,45.6,0,0,0,293.7,-3.4,-0.2,0.000133,0,0,,Not great resolution for historical temperature data
Acyrthosiphon pisum UK Sand Hutton,54.02,Temperate,Sternorrhyncha,282.1,6.3,-27,0,0,0,284.4,6,-19,0.000041,0.000046,0,,
Bemisia argentifollii US Homestead,25.47,Subtropical,Sternorrhyncha,297.3,-4.7,-1,0,0,0,299.3,3.1,-37.2,0.000082,0.000014,0,,
Rhopalosiphum rufiabdominalis US Weston,26.14,Subtropical,Sternorrhyncha,297.4,4.3,17.3,0,0,0,299.3,3.1,87.8,0.000082,0.000014,0,,
Aphis nasturtii US Weston,26.14,Subtropical,Sternorrhyncha,297.4,4.3,17.3,0,0,0,299.3,3.1,87.8,0.000082,0.000014,0,,
Diaphorina citri US Weston,26.24,Subtropical,Sternorrhyncha,297.4,4.3,17.3,0,0,0,299.3,3.1,87.8,0.000082,0.000014,0,,
Eriosoma lanigerum Australia Yathroo,30.9,Subtropical,Sternorrhyncha,292,-7.4,334,0,0,0,293.4,-7.6,104,0.000167,-0.000033,0,,
Macrosiphum euphorbiae Canada,42.81,Temperate,Sternorrhyncha,282.1,-13.1,78.5,0,0,0,285.2,15.3,100.8,0.000174,0,0,,
Myzus persicae Canada,42.81,Temperate,Sternorrhyncha,282.1,-13.1,78.5,0,0,0,285.2,15.3,100.8,0.000174,0,0,,
Hyperomyzus lactucae Australia Acton,35.27,Subtropical,Sternorrhyncha,286.2,7.4,96.3,0,0,0,286.3,7.1,107.7,0.00016,-0.000011,0,,
Aphis gossypii China Henan,36.07,Temperate,Sternorrhyncha,287.6,-13.9,-205.2,0,0,0,286.5,14.2,112.2,0.00016,0.000025,0,,
Aulacorthum solani US Ithaca,42.42,Temperate,Sternorrhyncha,281.5,12.9,-38,0,0,0,287.8,15.4,102.2,0.000171,0.000021,0,,
Brevicoryne brassicae US Columbia,38.93,Temperate,Sternorrhyncha,286.8,13.1,300.8,0,0,0,290.3,15.6,105.3,0.000141,0,0,,
Myzus persicae US Columbia,38.93,Temperate,Sternorrhyncha,286.8,13.1,300.8,0,0,0,290.3,15.6,105.3,0.000141,0,0,,
Hyadaphis pseudobrassicae US Columbia,38.93,Temperate,Sternorrhyncha,286.8,13.1,300.8,0,0,0,290.3,15.6,105.3,0.000141,0,0,,