Species,Latitude,Habitat,subfamily,meanT.h,amplT.h,shiftT.h,delta_mean.h,delta_ampl.h,amplD.h,meanT.f,amplT.f,shiftT.f,delta_mean.f,delta_ampl.f,amplD.f,meanP.h,amplP.h,shiftP.h,meanP.f,amplP.f,shiftP.f,Notes
Clavigralla shadabi Benin,6.45,Tropical,Heteroptera,300.6,1.44,119.3,0,0,3,303.2,1.05,117.2,0,0,1.17,,,,,,,
Clavigralla tomentosicollis Benin,6.45,Tropical,Heteroptera,300.6,1.44,119.3,0,0,3,303.2,1.05,117.2,0,0,1.17,,,,,,,
Clavigralla tomentosicollis Nigeria,7.45,Tropical,Heteroptera,301,1.79,129.3,0,0,3.94,303.4,1.18,109.5,0,0,3.62,13.86,15.55,68.6,,,,
Clavigralla tomentosicollis Burkina Faso,12.38,Tropical,Heteroptera,301.9,2.48,50.3,0,0,6.6,305.4,3.73,-231.1,0,0,5.24,,,,,,,
Apolygus lucorum China Dafeng,33.33,Temperate,Heteroptera,288.5,-12.6,-213.6,0,0,4.29,293.1,13.1,-20.9,0,0,4.1,,,,,,,
Adelphocoris suturalis China Dafeng,33.33,Temperate,Heteroptera,288.5,-12.6,-213.6,0,0,4.29,293.1,13.1,-20.9,0,0,4.1,,,,,,,
Apolygus lucorum China Langfang,39.88,Temperate,Heteroptera,285.7,15.1,-22.6,0,0,5.41,286.7,15.8,-11,0,0,5.21,,,,,,,
Adelphocoris suturalis China Xinxiang,35.53,Temperate,Heteroptera,287.6,-13.9,-205.6,0,0,5.43,290.7,15,-13.9,0,0,4.72,,,,,,,
Macrolophus pygmaeus on Myzus persicae Greece,38.38,Mediterranean,Heteroptera,291.6,8.93,-36.8,0,0,3.97,287.4,15.1,-12.5,0,0,4.78,*** NEED TO DO FROM HERE DOWN,,,,,,
Macrolophus pygmaeus on Trialeurodes vaporariorum Greece,38.38,Mediterranean,Heteroptera,291.6,8.93,-36.8,0,0,3.97,287.4,15.1,-12.5,0,0,4.78,,,,,,,
Macrosiphum euphorbiae Brazil,21.23,Tropical,Sternorrhyncha,293.2,-2.7,40.4,0,0,6.12,293.7,-3.39,-0.4,0,0,4.35,,,,,,,Not great resolution for historical temperature data
Aulacorthum solani Brazil,21.23,Tropical,Sternorrhyncha,293.2,-2.7,40.4,0,0,6.12,293.7,-3.39,-0.4,0,0,4.35,,,,,,,Not great resolution for historical temperature data
Uroleucon ambrosiae Brazil,21.23,Tropical,Sternorrhyncha,293.2,-2.7,40.4,0,0,6.12,293.7,-3.39,-0.4,0,0,4.35,,,,,,,Not great resolution for historical temperature data
Toxoptera citricidus on C. unshiu Japan Chiba,35.38,Subtropical,Sternorrhyncha,289.9,10.5,24,0,0,3.89,291.7,9.2,-30.1,0,0,1.64,,,,,,,
Toxoptera citricidus on C. aurantium Japan Chiba,35.38,Subtropical,Sternorrhyncha,289.9,10.5,24,0,0,3.89,291.7,9.2,-30.1,0,0,1.64,,,,,,,
Aphis citricola Japan Chiba,35.38,Subtropical,Sternorrhyncha,289.9,10.5,24,0,0,3.89,291.7,9.2,-30.1,0,0,1.64,,,,,,,
Acyrthosiphon pisum UK Sand Hutton,54.02,Temperate,Sternorrhyncha,282,6.31,-28.2,0,0,4.4,284.4,5.96,-19.3,0,0,3.08,,,,,,,
Bemisia argentifollii US Homestead,25.47,Subtropical,Sternorrhyncha,297.3,-4.68,-0.9,0,0,5.16,299.3,3.09,-37.4,0,0,1,,,,,,,
Rhopalosiphum rufiabdominalis US Naples,26.14,Subtropical,Sternorrhyncha,296.9,-5.01,-278.3,0,0,5.54,299.4,4,-30,0,0,2.56,,,,,,,
Aphis nasturtii US Weston,26.14,Subtropical,Sternorrhyncha,297.4,4.32,17.2,0,0,4.55,299.3,3.09,-37.4,0,0,1,,,,,,,
Diaphorina citri US Weston,26.24,Subtropical,Sternorrhyncha,297.4,4.32,17.2,0,0,4.55,299.3,3.09,-37.4,0,0,1,,,,,,,
Eriosoma lanigerum Australia Yathroo,30.9,Subtropical,Sternorrhyncha,292,-7.42,333.6,0,0,6.88,293.4,-7.62,103.7,0,0,5.83,,,,,,,
Macrosiphum euphorbiae Canada,42.81,Temperate,Sternorrhyncha,282.1,-13.1,-101.7,0,0,4.74,285.2,15.3,100.5,0,0,3.45,,,,,,,
Myzus persicae Canada,42.81,Temperate,Sternorrhyncha,282.1,-13.1,-101.7,0,0,4.74,285.2,15.3,100.5,0,0,3.45,,,,,,,
Hyperomyzus lactucae Australia Acton,35.27,Subtropical,Sternorrhyncha,286.2,7.4,96,0,0,6.58,286.3,-7.11,107.4,0,0,4.55,,,,,,,
Aphis gossypii China Henan,36.07,Temperate,Sternorrhyncha,287.6,-13.9,-205.6,0,0,5.43,286.5,14.2,111.9,0,0,4.71,,,,,,,
Aulacorthum solani US Ithaca,42.42,Temperate,Sternorrhyncha,281.5,12.9,-149.8,0,0,5.4,287.8,15.4,101.9,0,0,-1.29,,,,,,,
Brevicoryne brassicae US Columbia,38.93,Temperate,Sternorrhyncha,286.8,13.1,-64.5,0,0,5.38,290.3,15.6,105.1,0,0,4.7,,,,,,,
Myzus persicae US Columbia,38.93,Temperate,Sternorrhyncha,286.8,13.1,-64.5,0,0,5.38,290.3,15.6,105.1,0,0,4.7,,,,,,,
Hyadaphis pseudobrassicae US Columbia,38.93,Temperate,Sternorrhyncha,286.8,13.1,-64.5,0,0,5.38,290.3,15.6,105.1,0,0,4.7,,,,,,,